name,type,tdp_watts
AGX Xavier,gpu,30
T4,gpu,70
Intel Xeon E5-2630v4,cpu,85
Intel Xeon E5-2650,cpu,105
Intel Xeon Gold 5220,cpu,125
RTX A4000,gpu,140
Intel Xeon E5-2699,cpu,145
AMD RX480,gpu,150
Intel Xeon Gold 6148,cpu,150
GTX 1080,gpu,180
RTX 2080,gpu,215
TPUv2 Chip,tpu,221
Quadro K6000,gpu,225
RTX A5000,gpu,230
Tesla K40c,gpu,245
RTX 2080 Ti,gpu,250
Tesla M40 24GB,gpu,250
Tesla P100,gpu,250
Tesla P40,gpu,250
Quadro P6000,gpu,250
Tesla V100-SXM2-16GB,gpu,250
GTX TITAN X,gpu,250
GTX 750,gpu,250
Titan V,gpu,250
TITAN X Pascal,gpu,250
Titan Xp,gpu,250
GTX 1080 Ti,gpu,250
A100 PCIe 40/80GB,gpu,250
RTX 8000,gpu,260
AMD EPYC 7763,cpu,280
Titan RTX,gpu,280
TPUv3 Chip,tpu,283
RTX A6000,gpu,300
Tesla V100-SXM2-32GB,gpu,300
Tesla K80,gpu,300
Tesla V100-PCIE-16GB,gpu,300
RTX 3080,gpu,320
RTX 3090,gpu,350
RTX 3080 TI,gpu,350
A100 SXM4 80 GB,gpu,400
